-1 -1 1 -1 1 -1 1 -1 1 -1 1 
-0.99 -0.985323 0.941723 -0.87048 0.773685 -0.654179 0.51547 -0.361631 0.197176 -0.026933 -0.1441 
-0.98 -0.966606 0.868653 -0.712684 0.509115 -0.271543 0.0158357 0.24093 -0.481604 0.690112 -0.852528 
-0.97 -0.945247 0.786983 -0.54254 0.238685 0.091308 -0.411302 0.686255 -0.886059 0.988834 -0.983326 
-0.96 -0.921797 0.699419 -0.367648 -0.0216262 0.407517 -0.729671 0.937699 -0.999065 0.904171 -0.667859 
-0.95 -0.896601 0.607788 -0.193286 -0.261187 0.661648 -0.925281 0.997569 -0.863563 0.550974 -0.124445 
-0.94 -0.869912 0.513495 -0.0234793 -0.472645 0.845799 -0.998897 0.892107 -0.553213 0.0703862 0.430753 
-0.93 -0.841929 0.417689 0.1386 -0.651072 0.957713 -0.96158 0.661451 -0.15221 -0.405151 0.834427 
-0.92 -0.812816 0.32134 0.290435 -0.793481 0.999473 -0.831295 0.351906 0.259224 -0.77331 0.997893 
-0.91 -0.782715 0.225287 0.430045 -0.898492 0.976482 -0.630123 0.00993232 0.614575 -0.972007 0.907034 
-0.9 -0.751751 0.130258 0.555907 -0.966066 0.896574 -0.381935 -0.322335 0.866565 -0.980547 0.607689 
-0.89 -0.720033 0.0368945 0.666902 -0.997278 0.769243 -0.110483 -0.610141 0.989125 -0.814265 0.183469 
-0.88 -0.687661 -0.0542433 0.762264 -0.994115 0.604966 0.162092 -0.827894 0.976531 -0.515151 -0.268032 
-0.87 -0.654728 -0.142663 0.841539 -0.959295 0.414615 0.416374 -0.959839 0.840492 -0.140748 -0.656189 
-0.86 -0.621315 -0.227934 0.904554 -0.896092 0.208958 0.636434 -0.999811 0.605962 0.246824 -0.912673 
-0.85 -0.587502 -0.309684 0.951381 -0.808192 -0.0017524 0.810251 -0.950296 0.306349 0.590334 -0.999994 
-0.84 -0.553358 -0.38759 0.98231 -0.699549 -0.208108 0.929865 -0.820989 -0.0212634 0.844521 -0.913382 
-0.83 -0.518952 -0.461378 0.997818 -0.57426 -0.401792 0.991281 -0.627062 -0.340451 0.980417 -0.677127 
-0.82 -0.484344 -0.530821 0.998545 -0.436458 -0.575752 0.994183 -0.387302 -0.619008 0.986928 -0.337018 
-0.81 -0.449595 -0.595729 0.985268 -0.290215 -0.72431 0.941507 -0.122284 -0.831551 0.870006 0.0492499 
-0.8 -0.414758 -0.655951 0.95888 -0.139455 -0.8432 0.838903 0.147316 -0.961104 0.649935 0.421972 
-0.79 -0.379885 -0.711375 0.920366 0.0121085 -0.929566 0.694148 0.402173 -0.999707 0.357374 0.728185 
-0.78 -0.345024 -0.761917 0.870783 0.161035 -0.981905 0.516526 0.625478 -0.948135 0.0287807 0.928275 
-0.77 -0.31022 -0.807527 0.811242 0.3042 -0.99998 0.316228 0.803779 -0.814925 -0.298167 0.99992 
-0.76 -0.275516 -0.848181 0.742892 0.438823 -0.984698 0.103778 0.927513 -0.614868 -0.588701 0.939262 
-0.75 -0.240953 -0.883883 0.666901 0.5625 -0.937973 -0.110485 0.991217 -0.367187 -0.814267 0.759587 
-0.74 -0.206567 -0.91466 0.584444 0.673206 -0.862569 -0.31685 0.99347 -0.0935867 -0.954806 0.48805 
-0.73 -0.172394 -0.94056 0.496689 0.769307 -0.761938 -0.5066 0.936608 0.183668 -0.999934 0.161099 
-0.72 -0.138468 -0.961653 0.404785 0.849553 -0.640058 -0.672298 0.826242 0.443481 -0.949058 -0.180652 
-0.71 -0.10482 -0.978026 0.309853 0.913068 -0.501268 -0.807982 0.670654 0.667387 -0.810564 -0.49746 
-0.7 -0.0714783 -0.989782 0.212974 0.959336 -0.350118 -0.909284 0.480106 0.84065 -0.600282 -0.754835 
-0.69 -0.0384711 -0.99704 0.115186 0.988177 -0.191218 -0.973465 0.266119 0.952989 -0.339444 -0.926871 
-0.68 -0.00582373 -0.999932 0.0174704 0.999729 -0.0291147 -0.99939 0.0407551 0.998915 -0.0523899 -0.998305 
